Body Mass (g),Clutch Completion,Comments,Culmen Depth (mm),Culmen Length (mm),Date Egg,Delta 13 C (o/oo),Delta 15 N (o/oo),Flipper Length (mm),Individual ID,Island,Region,Sample Number,Sex,Species,Stage,studyName
6300.0,Yes,,15.2,49.2,11/27/07,-25.00169,8.27376,221.0,N39A2,Biscoe,Anvers,18,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
4925.0,Yes,,15.8,49.4,11/18/09,-26.06594,8.03624,216.0,N20A1,Biscoe,Anvers,97,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3625.0,No,Nest never observed with full clutch.,17.8,38.9,11/15/07,-25.21799,9.18718,181.0,N4A1,Torgersen,Anvers,7,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3450.0,Yes,,17.0,40.2,11/16/09,-25.61039,9.30722,176.0,N67A1,Torgersen,Anvers,123,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3500.0,Yes,,17.7,39.6,11/6/08,-26.12989,8.46616,186.0,N21A1,Biscoe,Anvers,51,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
2975.0,Yes,Sexing primers did not amplify. Not enough blood for isotopes.,18.9,37.5,11/13/07,,,179.0,N29A2,Dream,Anvers,48,,Adelie,"Adult, 1 Egg Stage",PAL0708
3475.0,Yes,,18.4,36.6,11/13/09,-25.8306,8.68744,184.0,N83A2,Dream,Anvers,148,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3900.0,Yes,,18.9,40.9,11/9/07,-25.14591,8.79665,184.0,N22A2,Dream,Anvers,34,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4700.0,Yes,,15.0,46.4,11/6/08,-26.9547,8.47938,216.0,N56A1,Biscoe,Anvers,75,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
5700.0,Yes,,14.3,50.2,11/27/07,-25.37746,7.8962,218.0,N41A1,Biscoe,Anvers,21,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3675.0,Yes,,17.3,49.8,11/23/09,-24.41562,9.32169,198.0,N88A2,Dream,Anvers,50,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
3450.0,Yes,,19.0,38.7,11/12/07,-25.06691,9.18528,195.0,N9A1,Torgersen,Anvers,17,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
5400.0,Yes,,17.1,52.2,11/25/09,-25.89834,8.36701,228.0,N15A2,Biscoe,Anvers,92,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3150.0,Yes,,18.0,36.5,11/16/07,-24.4228,9.68933,182.0,N26A1,Dream,Anvers,41,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4200.0,Yes,,21.5,46.0,11/16/07,-24.77227,9.11616,194.0,N10A2,Torgersen,Anvers,20,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
5200.0,Yes,,14.8,46.5,11/9/08,-26.5929,8.58487,217.0,N55A2,Biscoe,Anvers,74,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
4625.0,Yes,,14.5,49.1,11/18/09,-26.2766,8.35802,212.0,N1A1,Biscoe,Anvers,81,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3600.0,Yes,,17.3,45.7,11/23/09,-24.805,9.415,193.0,N92A1,Dream,Anvers,53,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
4500.0,No,,19.9,53.5,11/24/08,-24.90816,10.02544,205.0,N72A2,Dream,Anvers,40,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
3200.0,Yes,Not enough blood for isotopes.,17.6,41.1,11/15/07,,,182.0,N7A1,Torgersen,Anvers,13,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
2925.0,Yes,,18.6,37.9,11/15/09,-25.86482,9.02642,193.0,N51A1,Biscoe,Anvers,105,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3400.0,No,,18.1,43.5,11/21/09,-24.40753,9.37608,202.0,N99A1,Dream,Anvers,65,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
3550.0,Yes,,18.9,39.7,11/15/09,-25.80208,8.85699,184.0,N51A2,Biscoe,Anvers,106,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3850.0,Yes,,18.3,47.6,11/14/08,-24.65859,8.83502,195.0,N69A1,Dream,Anvers,37,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
3800.0,No,,19.4,50.6,11/28/07,-24.97134,9.28153,193.0,N85A2,Dream,Anvers,24,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
3050.0,Yes,,15.9,35.2,11/18/09,-25.95399,8.81668,186.0,N69A1,Torgersen,Anvers,125,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3775.0,Yes,,20.3,51.7,11/28/07,-24.38751,8.68747,194.0,N68A2,Dream,Anvers,12,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
4700.0,Yes,,14.7,41.7,11/10/09,-26.44815,8.12311,210.0,N28A1,Biscoe,Anvers,107,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
4050.0,Yes,,19.9,49.3,11/21/09,-24.59513,9.88809,203.0,N94A2,Dream,Anvers,58,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
4375.0,Yes,,14.1,46.2,11/25/09,-25.96013,8.30231,217.0,N35A1,Biscoe,Anvers,115,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
4650.0,Yes,,13.7,45.5,11/29/07,-25.4168,7.77672,214.0,N37A1,Biscoe,Anvers,13,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
4000.0,Yes,,19.8,55.8,11/19/09,-24.53494,9.70465,207.0,N98A2,Dream,Anvers,64,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
3350.0,Yes,,17.3,42.5,11/27/09,-24.60882,9.56534,187.0,N93A1,Dream,Anvers,55,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
3500.0,No,,17.9,46.5,11/19/07,-24.30229,9.03935,192.0,N61A1,Dream,Anvers,1,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
3500.0,No,Nest never observed with full clutch.,19.2,43.1,11/23/09,-26.1396,8.86495,197.0,N73A2,Torgersen,Anvers,132,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
5500.0,Yes,,16.3,51.5,11/27/09,-25.76147,8.78557,230.0,N34A2,Biscoe,Anvers,114,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3650.0,Yes,,18.7,39.0,11/16/09,-26.03442,9.22033,185.0,N82A2,Dream,Anvers,146,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
4400.0,Yes,,21.1,34.6,11/16/07,-25.22588,8.55583,198.0,N8A1,Torgersen,Anvers,15,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4250.0,Yes,,18.6,39.2,11/13/09,-25.79549,9.11006,190.0,N83A1,Dream,Anvers,147,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
4100.0,Yes,,18.8,51.0,11/24/08,-24.17282,9.23196,203.0,N65A2,Dream,Anvers,34,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
3800.0,Yes,,18.9,35.3,11/10/07,-24.3613,9.21292,187.0,N13A2,Biscoe,Anvers,26,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4150.0,Yes,,13.5,42.0,11/27/07,-25.52627,7.63884,210.0,N39A1,Biscoe,Anvers,17,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3475.0,Yes,,17.2,40.6,11/14/09,-26.01549,9.23408,187.0,N80A2,Dream,Anvers,142,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3900.0,Yes,,16.8,47.5,11/25/08,-25.1455,9.07825,199.0,N67A2,Dream,Anvers,36,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
4300.0,Yes,,13.7,45.3,11/4/08,-26.72791,8.37615,210.0,N7A1,Biscoe,Anvers,43,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
4300.0,Yes,,18.1,41.1,11/14/08,-25.83352,8.77018,205.0,N45A2,Dream,Anvers,92,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
4100.0,Yes,,19.1,41.1,11/6/08,-25.81012,8.71078,188.0,N30A2,Biscoe,Anvers,68,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
5400.0,Yes,,16.3,48.4,11/13/08,-26.86127,8.03659,220.0,N2A2,Biscoe,Anvers,36,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
4300.0,Yes,,20.8,54.2,11/24/08,-24.59996,9.49283,201.0,N63A2,Dream,Anvers,32,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
3750.0,Yes,,19.1,37.6,11/15/08,-25.89677,9.108,194.0,N25A2,Biscoe,Anvers,60,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3900.0,Yes,,19.4,37.2,11/6/08,-26.44787,8.3554,184.0,N37A2,Torgersen,Anvers,78,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3600.0,Yes,,17.3,42.4,12/3/07,-24.6879,9.35138,181.0,N73A1,Dream,Anvers,21,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
4150.0,No,,19.0,52.0,11/28/07,-24.47142,9.36799,197.0,N89A2,Dream,Anvers,26,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
4050.0,Yes,,19.7,50.7,11/23/09,-24.59066,9.93727,203.0,N92A2,Dream,Anvers,54,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
4000.0,Yes,,19.1,42.1,11/9/08,-25.81513,9.05736,195.0,N38A2,Torgersen,Anvers,80,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3300.0,No,,17.9,46.7,11/28/07,-24.59467,9.74144,195.0,N89A1,Dream,Anvers,25,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
3800.0,Yes,,18.8,50.2,11/21/09,-24.404,9.74492,202.0,N95A1,Dream,Anvers,59,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
3900.0,Yes,,20.7,39.6,11/17/09,-26.78958,8.80967,191.0,N61A1,Biscoe,Anvers,115,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3825.0,Yes,,16.5,38.1,11/12/09,-26.57563,8.43951,198.0,N58A1,Biscoe,Anvers,111,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3325.0,Yes,,18.4,34.4,11/16/07,-25.23319,8.47827,184.0,N10A1,Torgersen,Anvers,19,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3650.0,Yes,,20.6,39.3,11/16/07,-25.29805,8.66496,190.0,N3A2,Torgersen,Anvers,6,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
5600.0,Yes,,17.3,50.8,11/22/09,-26.30019,8.27428,228.0,N8A2,Biscoe,Anvers,86,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
4900.0,Yes,,13.9,43.6,11/3/08,-26.7765,8.27141,217.0,N8A2,Biscoe,Anvers,46,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
5850.0,Yes,,14.6,48.4,11/29/07,-25.48025,7.8208,213.0,N37A2,Biscoe,Anvers,14,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3200.0,Yes,,17.9,40.5,11/12/07,-25.49448,8.08138,187.0,N17A2,Biscoe,Anvers,28,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3325.0,Yes,,17.0,36.4,11/16/07,-25.23061,9.17847,195.0,N23A1,Dream,Anvers,35,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3300.0,Yes,,17.3,36.2,11/17/08,-26.30037,8.90723,187.0,N48A1,Dream,Anvers,95,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3550.0,Yes,,18.6,40.6,11/12/07,-25.36288,8.93997,183.0,N17A1,Biscoe,Anvers,27,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
5850.0,Yes,,15.7,49.3,12/3/07,-25.52473,8.07137,217.0,N38A2,Biscoe,Anvers,16,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
4600.0,Yes,,14.4,43.4,11/20/09,-26.18599,8.23468,218.0,N13A1,Biscoe,Anvers,87,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3400.0,Yes,,17.9,50.1,11/27/09,-24.45721,9.46819,190.0,N87A1,Dream,Anvers,47,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
4950.0,Yes,,13.7,42.6,11/2/08,-26.70968,7.96935,213.0,N4A1,Biscoe,Anvers,37,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3450.0,Yes,,17.9,36.0,11/13/07,-25.07683,9.51784,190.0,N30A1,Dream,Anvers,49,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4650.0,Yes,,14.4,46.2,11/9/08,-26.8154,8.24253,214.0,N51A1,Biscoe,Anvers,67,,Gentoo,"Adult, 1 Egg Stage",PAL0809
5350.0,Yes,,15.1,48.7,11/27/07,-25.39587,7.96491,222.0,N40A2,Biscoe,Anvers,20,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
4725.0,Yes,,14.6,47.4,11/15/09,-26.24369,8.19101,212.0,N6A1,Biscoe,Anvers,83,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
5150.0,Yes,,14.8,49.1,11/13/08,-26.63405,7.89744,220.0,N2A1,Biscoe,Anvers,35,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
2850.0,Yes,,16.6,36.5,11/15/08,-25.88156,9.07878,181.0,N25A1,Biscoe,Anvers,59,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3950.0,Yes,,20.0,38.8,11/16/07,-25.12255,9.18985,190.0,N24A1,Dream,Anvers,37,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
5200.0,Yes,,15.3,46.7,11/27/07,-25.4276,8.22673,219.0,N34A2,Biscoe,Anvers,8,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3950.0,Yes,,18.0,41.6,11/13/08,-26.09294,8.85562,192.0,N29A2,Biscoe,Anvers,66,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3650.0,Yes,,19.2,51.3,11/26/07,-24.7557,9.29078,193.0,N62A1,Dream,Anvers,3,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
3800.0,Yes,Not enough blood for isotopes.,21.2,38.6,11/15/07,,,191.0,N7A2,Torgersen,Anvers,14,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3950.0,No,,13.7,42.7,11/4/08,-26.59467,8.14567,208.0,N6A1,Biscoe,Anvers,41,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
5550.0,Yes,,15.3,50.4,11/6/08,-26.79846,8.74647,224.0,N17A2,Biscoe,Anvers,60,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3975.0,Yes,,20.1,40.2,11/16/09,-26.32601,8.95998,200.0,N78A2,Dream,Anvers,138,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
4150.0,Yes,,21.1,39.2,11/16/07,-25.03469,9.15308,196.0,N23A2,Dream,Anvers,36,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3950.0,Yes,,19.5,49.0,11/24/08,-24.66867,9.53262,210.0,N74A1,Dream,Anvers,41,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
3700.0,Yes,Not enough blood for isotopes.,17.8,36.6,11/16/07,,,185.0,N8A2,Torgersen,Anvers,16,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3300.0,No,,20.0,50.3,11/30/07,-24.54704,10.02019,197.0,N71A1,Dream,Anvers,17,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
3600.0,Yes,,17.0,37.6,11/13/08,-26.21569,8.58063,185.0,N28A1,Biscoe,Anvers,63,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3650.0,Yes,,16.5,46.8,11/27/09,-24.48153,9.65061,189.0,N96A2,Dream,Anvers,62,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
4550.0,Yes,,20.0,52.8,11/14/08,-24.69638,9.25177,205.0,N62A2,Dream,Anvers,30,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
4575.0,Yes,,14.0,43.3,11/9/09,-26.38092,8.4207,208.0,N29A1,Biscoe,Anvers,109,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3425.0,Yes,,17.6,38.1,11/13/09,-25.77951,8.717,187.0,N77A1,Dream,Anvers,135,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3250.0,Yes,,18.2,46.1,11/28/07,-24.55644,8.85664,178.0,N66A1,Dream,Anvers,7,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
5000.0,Yes,,15.0,45.5,11/3/08,-26.7489,8.63604,220.0,N16A2,Biscoe,Anvers,58,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3450.0,Yes,,18.6,46.4,11/30/07,-24.64162,9.32105,190.0,N72A1,Dream,Anvers,19,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
4750.0,Yes,,14.5,45.5,12/1/09,-26.22848,8.15566,212.0,N18A1,Biscoe,Anvers,93,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3500.0,Yes,,18.6,36.9,11/8/08,-26.08165,8.59147,189.0,N42A2,Dream,Anvers,88,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3300.0,Yes,,17.8,39.5,11/9/07,-25.0602,9.66523,188.0,N22A1,Dream,Anvers,33,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
5850.0,Yes,,16.0,55.1,11/25/09,-26.18161,8.08354,230.0,N35A2,Biscoe,Anvers,116,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
5550.0,No,,16.1,49.0,11/27/07,-25.50562,8.10417,216.0,N36A2,Biscoe,Anvers,12,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
4150.0,Yes,,18.9,46.0,11/21/07,-24.29229,8.47173,195.0,N67A1,Dream,Anvers,9,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
5450.0,Yes,,15.6,52.5,11/18/09,-26.27573,8.28601,221.0,N1A2,Biscoe,Anvers,82,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
4150.0,Yes,,21.2,42.3,11/13/07,-25.18543,8.87988,191.0,N30A2,Dream,Anvers,50,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
5700.0,Yes,,16.3,50.0,11/27/07,-25.39369,8.14756,230.0,N31A2,Biscoe,Anvers,2,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3700.0,Yes,,16.8,40.9,11/6/08,-26.02002,8.47257,191.0,N37A1,Torgersen,Anvers,77,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3900.0,Yes,,18.1,37.2,11/9/07,-25.0102,9.72764,178.0,N21A2,Dream,Anvers,32,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
5100.0,Yes,,15.1,46.1,11/29/07,-25.42826,7.83733,215.0,N44A2,Biscoe,Anvers,26,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
4150.0,Yes,,18.9,45.8,11/11/08,-26.45978,8.18658,197.0,N35A2,Torgersen,Anvers,74,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3400.0,Yes,,17.5,48.5,12/3/07,-24.26375,9.42666,191.0,N73A2,Dream,Anvers,22,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
3950.0,Yes,,19.2,38.3,11/8/08,-26.12417,9.07826,189.0,N44A1,Dream,Anvers,89,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3700.0,Yes,,17.5,35.5,11/8/08,-26.15003,8.70642,190.0,N36A1,Torgersen,Anvers,75,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
5300.0,Yes,,14.1,48.5,11/4/08,-26.79358,8.39867,220.0,N13A2,Biscoe,Anvers,52,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3050.0,Yes,,17.1,39.0,11/18/09,-25.73722,9.19031,191.0,N72A1,Torgersen,Anvers,129,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3600.0,Yes,,18.7,37.7,11/12/07,-25.0639,8.66271,180.0,N11A2,Biscoe,Anvers,22,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4600.0,Yes,,18.8,39.6,11/16/07,-24.10255,9.49106,190.0,N28A2,Dream,Anvers,46,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3250.0,Yes,,16.6,45.2,11/21/09,-24.78984,9.62357,191.0,N94A1,Dream,Anvers,57,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
3950.0,Yes,,19.5,51.9,11/27/09,-23.78767,,206.0,N96A1,Dream,Anvers,61,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
3550.0,Yes,,16.1,36.2,11/9/08,-26.51382,7.82381,187.0,N38A1,Torgersen,Anvers,79,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
5950.0,Yes,,16.4,45.2,11/9/08,-26.65931,8.19749,223.0,N60A2,Biscoe,Anvers,80,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3400.0,No,Nest never observed with full clutch.,16.5,37.0,11/16/09,-26.07021,8.61651,185.0,N79A1,Dream,Anvers,139,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3900.0,No,,19.5,50.0,11/19/07,-24.23592,8.92069,196.0,N61A2,Dream,Anvers,2,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
5250.0,Yes,,15.3,47.3,11/29/07,,,222.0,N50A1,Biscoe,Anvers,31,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3450.0,Yes,,19.3,36.7,11/16/07,-25.32426,8.76651,193.0,N3A1,Torgersen,Anvers,5,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4450.0,Yes,,14.5,43.2,11/6/08,-26.86485,8.48367,208.0,N17A1,Biscoe,Anvers,59,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
6000.0,Yes,,16.3,51.1,11/6/08,-26.76821,8.40327,220.0,N58A2,Biscoe,Anvers,78,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
4050.0,Yes,,19.6,50.5,11/22/07,-24.7294,9.8059,201.0,N70A2,Dream,Anvers,16,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
3950.0,No,Nest never observed with full clutch.,18.9,40.5,11/10/07,-25.11609,8.90027,180.0,N18A2,Biscoe,Anvers,30,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3350.0,Yes,,17.8,37.3,11/17/08,-26.38396,8.32718,191.0,N41A1,Dream,Anvers,85,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3150.0,No,Nest never observed with full clutch.,17.2,36.2,11/17/09,-26.19444,9.04296,187.0,N66A1,Torgersen,Anvers,121,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3800.0,Yes,,17.8,46.6,11/28/07,-24.59897,8.95063,193.0,N68A1,Dream,Anvers,11,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0708
5400.0,No,,15.9,50.5,11/9/08,-26.57585,8.65803,225.0,N11A2,Biscoe,Anvers,48,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
